학교명,도로명우편번호,도로명주소,도로명상세주소,좌표X,좌표Y
서울성내초등학교,5392,서울특별시 강동구 성내로3길 19,(성내동/ 서울성내초등학교),127.122500139991,37.5313578593416
서울선사초등학교,5239,서울특별시 강동구 올림픽로 837,/ 서울선사초등학교 (암사동/ 서울선사초등학교),127.12819596827,37.5558469097869
서울선린초등학교,5367,서울특별시 강동구 진황도로61길 29,/ 서울선린초등학교 (둔촌동),127.145594039357,37.5297601213047
서울석촌초등학교,5689,서울특별시 송파구 가락로11길 26,/ 서울석촌초등학교 (석촌동),127.105238463221,37.5026527756676
서울상일초등학교,5283,서울특별시 강동구 천호대로 1477,(상일동),127.17266348564,37.5475721706533
서울삼전초등학교,5584,서울특별시 송파구 백제고분로28길 19,(삼전동),127.093268133907,37.5017012801562
서울버들초등학교,5555,서울특별시 송파구 석촌호수로 81,/ 서울버들초등학교 (잠실동),127.089274587416,37.5102185018601
서울방이초등학교,5636,서울특별시 송파구 위례성대로10길 4,/ 서울방이초등학교 (방이동),127.120531131015,37.513512293639
서울방산초등학교,5645,서울특별시 송파구 오금로27길 42,(방이동),127.121190696197,37.5095379215333
서울문현초등학교,5799,서울특별시 송파구 충민로 137,/ (서울문현초등학교) (장지동),127.130257129876,37.482790915501
서울문정초등학교,5797,서울특별시 송파구 문정로5길 20,/ 문정초등학교 (문정동),127.129206175689,37.4890774089099
서울문덕초등학교,5809,서울특별시 송파구 송이로34길 60,(문정동),127.127962742492,37.4850521596354
서울묘곡초등학교,5232,서울특별시 강동구 동남로79길 46,(고덕동),127.153093406496,37.5587127850485
서울명일초등학교,5256,서울특별시 강동구 고덕로38길 8,(암사동/ 서울명일초등학교),127.142591145632,37.554553599981
서울명원초등학교,5268,서울특별시 강동구 명일로 364,/ 서울명원초등학교 (명일동),127.15050016138,37.5512878500966
서울명덕초등학교,5230,서울특별시 강동구 양재대로156길 11,/ 서울명덕초등학교 (고덕동),127.145081475071,37.5567623333733
서울마천초등학교,5758,서울특별시 송파구 마천로61다길 24,/ 서울마천초등학교 (마천동),127.152704624882,37.495437509372
서울둔촌초등학교,5409,서울특별시 강동구 양재대로88길 27,/ 서울둔촌초등학교 (둔촌동),127.137454081546,37.5262199311307
서울대명초등학교,5271,서울특별시 강동구 상암로 271,(명일동/서울대명초등학교),127.152849551167,37.547707060343
서울남천초등학교,5745,서울특별시 송파구 성내천로 207,(마천동),127.151063224565,37.5013291325477
서울길동초등학교,5344,서울특별시 강동구 양재대로116길 69,/ 서울길동초등학교 (길동),127.144972942492,37.5385916779149
서울고일초등학교,5275,서울특별시 강동구 구천면로93길 20,/ 서울고일초등학교 (상일동),127.169410143976,37.5515426236302
서울고명초등학교,5267,서울특별시 강동구 고덕로46길 53,/ 서울고명초등학교 (명일동),127.147436202442,37.5529725262612
서울고덕초등학교,5221,서울특별시 강동구 아리수로82길 42,/ 고덕초등학교 (고덕동),127.166096972163,37.5612942209058
서울거원초등학교,5789,서울특별시 송파구 양산로2길 26,(거여동/거원초등학교),127.144815961872,37.4876385082093
서울거여초등학교,5731,서울특별시 송파구 마천로25길 18,(오금동/ 거여초등학교),127.140946785902,37.5050261154817
서울개롱초등학교,5742,서울특별시 송파구 문정로 211,/ 서울개롱초등학교 (오금동),127.139888149341,37.4973626123965
서울강일초등학교,5213,서울특별시 강동구 아리수로98길 24,/ 서울강일초등학교 (강일동),127.177212459316,37.565255684305
서울강명초등학교,5285,서울특별시 강동구 상일로 74-1,(상일동),127.173374480645,37.5547060358492
서울강동초등학교,5322,서울특별시 강동구 상암로14길 77,(천호동/서울강동초등학교),127.130187177341,37.5463638024947
서울강덕초등학교,5225,서울특별시 강동구 동남로82길 94-54,(고덕동/ 서울강덕초등학교),127.160483581978,37.5595474750238
서울가주초등학교,5823,서울특별시 송파구 오금로40길 37,/ 서울가주초등학교 (가락동/ 가주초등학교),127.129280370183,37.4965672156015
서울가원초등학교,5834,서울특별시 송파구 중대로4길 8,(문정동/ 가원초등학교),127.111028747643,37.4894427777046
